"LA code","region","admissions_total","admissions_count_men","admissions_count_women","adm_per_100_000_all","adm_per_male","adm_per_female","yr"
"117","Darlington","348","144","204","330.274184516974","281.37090155926376","376.46016719260365",2016
"116","Durham","2553","992","1561","493.0732193451571","390.22701614013556","592.27050940575646",2016
"106","Gateshead","1450","411","1039","723.17398568614249","417.48351905085985","1018.0485606223913",2016
"111","Hartlepool","530","204","326","572.41602764877416","451.25754860972859","688.0104678893274",2016
"112","Middlesbrough","661","238","423","475.13279997699806","348.10589439812787","597.88830937539751",2016
"107","Newcastle-upon-Tyne","2287","679","1608","789.0696430727827","464.75971443629919","1118.7020829564904",2016
"108","North Tyneside","2926","961","1965","1443.1993055281537","981.05271754665364","1875.2147192426612",2016
"104","Northumberland","4456","1624","2832","1410.1845962017424","1052.4542143532981","1751.5972810658025",2016
"113","Redcar & Cleveland","625","216","409","462.81897483745797","329.15288846898187","589.17587404024835",2016
"109","South Tyneside","738","244","494","496.16780960064546","339.60583453958355","642.45955365967848",2016
"114","Stockton-on-Tees","958","311","647","493.51171188806865","327.08953418664089","653.28459783113556",2016
"110","Sunderland","1882","550","1332","679.69475132634386","407.73359428283368","938.04798692930137",2016
"B","North West","70380","24718","45654","986.68286557490399","703.94737966281832","1260.585992734249",2016
"324","Blackburn with Darwen","1661","514","1146","1131.9108918312968","702.82909220187878","1556.85368835756",2016
"325","Blackpool","745","286","459","530.2453363321257","413.99475992646524","642.69511887759381",2016
"304","Bolton","1803","759","1044","642.92056383028046","546.18462335568927","737.93956529422167",2016
"305","Bury","1122","471","651","598.48298964123023","513.45782777904958","679.94527015029814",2016
"326","Cheshire East","2218","644","1574","592.76442558240842","351.44205844634234","824.36862999780021",2016
"327","Cheshire West and Chester","4128","1038","3090","1242.5875199422053","641.39004918559533","1813.6570133940625",2016
"102","Cumbria","3365","1079","2286","675.87381546335018","439.94666818887941","904.92722184176046",2016
"321","Halton","1351","501","850","1069.2182281526505","812.62570557321737","1313.7151865475564",2016
"315","Knowsley","1882","665","1217","1285.4576625434577","955.52841439758595","1584.3878560641567",2016
"323","Lancashire","11245","3699","7541","949.15740650862847","633.71594997430191","1254.6690292578635",2016
"316","Liverpool","3765","1382","2383","795.86025835336193","590.3207893725172","997.22551189933165",2016
"306","Manchester","4092","1120","2971","786.59784896629276","425.7761861858437","1155.2849132466968",2016
