,region,admissions_total,admissions_count_men,admissions_count_women,adm_per_100_000_all,adm_per_male,adm_per_female,year
111,Brent,3015,962,2053,939.9492458582998,592.2478329393223,1296.65887702899,2016
112,Bromley,953,362,591,296.6278425538008,234.47418193123818,354.1254718676973,2016
113,Camden,1097,444,653,467.1146197933965,380.166279935954,553.1320147388928,2016
114,Croydon,1345,427,918,357.6747154558026,233.94824648392768,474.3671229478971,2016
115,Ealing,2316,753,1563,676.9594116649811,438.5939365698809,917.0759183960853,2016
116,Enfield,2547,1007,1537,784.7208956971292,638.3154051432882,921.3799718250757,2016
117,Greenwich,1287,469,818,479.012051600801,348.41134825534317,610.1426898491053,2016
118,Hackney,1897,523,1374,720.8816264487934,400.11322515740596,1037.4744218005542,2016
119,Hammersmith And Fulham,566,222,344,317.3268298152664,254.38003460485155,377.6318967220673,2016
120,Haringey,1650,550,1100,616.7279033867705,410.1783903108406,824.260226446764,2016
121,Harrow,2308,801,1507,938.1694314481872,655.6706094216838,1216.8338097314406,2016
122,Havering,1451,626,825,589.899745501557,529.633233216295,645.6459981687132,2016
123,Hillingdon,2428,660,1768,829.5466192900337,451.99906860797984,1205.4107123377332,2016
124,Hounslow,1080,385,695,406.6755030726593,286.51589232956024,529.7457982392622,2016
125,Islington,1667,527,1140,754.1962629507307,478.8601855469637,1027.2398785333896,2016
126,Lambeth,1513,499,1012,475.4632073811499,312.7663841949556,637.7936876071392,2016
127,Lewisham,964,311,653,330.2127542963625,216.69302750120193,439.99137536048295,2016
128,Merton,700,250,450,343.95499103260204,250.09253423766793,434.5642768850432,2016
129,Newham,1671,528,1143,515.2286924722961,312.08624929071306,736.7633977491007,2016
130,Redbridge,1364,529,835,465.44164064765994,364.3827879071754,564.6546477501724,2016
131,Richmond Upon Thames,460,236,224,237.62171655861766,250.9250202015906,225.0509881144947,2016
132,Southwark,1651,535,1116,545.7165711414765,356.72136394247116,731.510674418757,2016
133,Sutton,944,240,704,476.4452340335328,248.68404691839018,692.7361108377777,2016
134,Tower Hamlets,1102,330,772,388.00767565093395,224.5829902204316,563.1912223875806,2016
135,Waltham Forest,1999,559,1436,745.8398626968137,417.5505691834234,1070.4914122137404,2016
136,Wandsworth,910,298,612,291.53117941982094,198.64018130915875,377.4865073245952,2016
137,Royal Of Kensington And Chelsea,451,153,298,288.7508803380498,198.04030702719496,377.53537810548187,2016
138,Royal Of Kingston-Upon-Thames,428,182,246,251.82692194542184,218.1914090129836,284.2451903633948,2016
139,Westminster,924,351,573,396.07016099994854,291.34191588435965,507.9111820236671,2016
141,South East,61957,22420,39532,698.200030697046,513.653515273288,876.7338625258593,2016
142,Bracknell Forest,788,335,453,667.6551578055497,571.467562818785,762.5749107804188,2016
143,Brighton And Hove,1867,679,1188,664.2331611379129,481.8028936556706,847.6813631401315,2016
144,Buckinghamshire,3381,1530,1850,647.7979468196397,598.102490530044,695.1933952869646,2016
145,East Sussex,3185,1253,1932,590.0705120366974,480.7434065638932,692.1555702043507,2016
146,Hampshire,8466,3134,5331,628.9111947084099,475.78347145830514,775.4937572097934,2016
147,Isle Of Wight,1641,646,995,1179.6844110563964,950.6850524642757,1398.3753548640975,2016
148,Kent,9121,3508,5613,603.898158974651,474.0175418920435,728.6799766843178,2016
149,Medway,3318,1121,2197,1210.8826159151872,824.2344031469431,1591.9136294471416,2016
150,Milton Keynes,1666,487,1179,642.6353449439719,379.44011157253385,900.7013094164922,2016
151,Oxfordshire,3084,923,2161,458.5764502257195,276.34068645062393,638.3896392404316,2016
152,Portsmouth,1182,431,751,565.3203242700337,406.97235231908144,727.8471811670753,2016
153,Reading,1486,457,1029,923.9856987408673,565.0206473628248,1287.1671065634264,2016
154,Royal Of Windsor & Maidenhead,1740,676,1064,1180.461329715061,927.1704841585517,1428.3796482749362,2016
155,Slough,2524,796,1728,1745.8066747362961,1099.1287057621407,2394.8776228622114,2016
156,Southampton,4304,1467,2837,1754.6577520485957,1176.914190360054,2351.5856832612194,2016
157,Surrey,4044,1218,2826,348.2436258671645,213.84853624363984,477.6117384999679,2016
158,West Berkshire District,1151,404,747,739.0902319369173,522.9908864954433,951.7863513582387,2016
159,West Sussex,7897,2949,4945,953.285739463398,734.3785797531651,1158.5300140101303,2016
160,Wokingham,1112,406,706,698.9446689755307,516.5197257102146,877.0840062613363,2016
162,South West,58128,20216,37907,1071.819147851411,758.9941900301292,1373.5525103830817,2016
163,Bath And North East Somerset,1275,472,803,700.4686272463067,526.6622778143516,869.0476190476192,2016
164,Borough Of Poole,1956,690,1266,1303.0531147366248,936.9653187040003,1655.616148142336,2016
165,Bournemouth,2414,928,1486,1261.29891843879,963.8854555085846,1562.3521495484317,2016
166,Bristol,5275,1792,3483,1192.1604433254836,811.1313290423038,1572.1198115081156,2016
167,Cornwall,11493,3601,7889,2107.511896357285,1360.3155055568568,2811.305088430138,2016
168,Devon,6897,2398,4499,901.2128545332431,643.4491881753465,1145.8829462359565,2016
